Date,Type,Name,Start,End,Duration
11/22/14,place,Place in Allston,2014-11-22T11:24:45-06:00,2014-11-22T11:32:14-06:00,449
11/22/14,move,walking,2014-11-22T11:32:14-06:00,2014-11-22T11:56:17-06:00,1443
11/22/14,place,Tasty Burger,2014-11-22T11:56:16-06:00,2014-11-22T14:55:46-06:00,10770
11/22/14,move,walking,2014-11-22T14:55:46-06:00,2014-11-22T15:01:13-06:00,327
11/22/14,place,Border Cafe,2014-11-22T15:01:13-06:00,2014-11-22T17:28:30-06:00,8837
11/22/14,move,walking,2014-11-22T17:28:30-06:00,2014-11-22T17:48:15-06:00,1185
11/22/14,place,11 Peabody Terrace,2014-11-22T17:48:15-06:00,2014-11-22T19:14:13-06:00,5158
11/22/14,move,walking,2014-11-22T19:14:13-06:00,2014-11-22T19:18:20-06:00,247
11/22/14,place,Place in Old Cambridge,2014-11-22T19:18:21-06:00,2014-11-22T19:21:41-06:00,200
11/22/14,move,walking,2014-11-22T19:21:41-06:00,2014-11-22T19:30:26-06:00,525
11/22/14,place,Ethan Bernstein Home,2014-11-22T19:30:26-06:00,2014-11-22T22:26:38-06:00,10572
11/22/14,move,walking,2014-11-22T22:26:38-06:00,2014-11-22T22:35:12-06:00,514
11/22/14,place,Place in Old Cambridge,2014-11-22T22:35:13-06:00,2014-11-22T22:36:46-06:00,93
11/23/14,move,walking,2014-11-23T13:36:08-06:00,2014-11-23T13:46:23-06:00,615
11/23/14,place,One Western Avenue,2014-11-23T13:46:23-06:00,2014-11-23T15:28:16-06:00,6113
11/23/14,move,walking,2014-11-23T15:28:16-06:00,2014-11-23T15:52:50-06:00,1474
11/23/14,place,Home,2014-11-23T15:52:50-06:00,2014-11-24T00:00:00-06:00,29230
11/24/14,place,Home,2014-11-24T00:00:00-06:00,2014-11-24T06:28:04-06:00,23284
11/24/14,move,walking,2014-11-24T06:28:04-06:00,2014-11-24T06:49:16-06:00,1272
11/24/14,place,Spangler Center,2014-11-24T06:49:16-06:00,2014-11-24T07:59:57-06:00,4241
11/24/14,move,walking,2014-11-24T07:59:57-06:00,2014-11-24T08:07:55-06:00,478
11/24/14,place,Aldrich Hall,2014-11-24T08:07:54-06:00,2014-11-24T13:55:32-06:00,20858
11/24/14,move,walking,2014-11-24T13:55:32-06:00,2014-11-24T14:14:27-06:00,1135
11/24/14,place,Starbucks,2014-11-24T14:14:27-06:00,2014-11-24T14:24:45-06:00,618
11/24/14,move,walking,2014-11-24T14:24:45-06:00,2014-11-24T14:37:50-06:00,785
11/24/14,place,Home,2014-11-24T14:37:49-06:00,2014-11-24T17:03:25-06:00,8736
11/24/14,move,walking,2014-11-24T17:03:25-06:00,2014-11-24T17:13:44-06:00,619
11/24/14,place,Border Cafe,2014-11-24T17:13:44-06:00,2014-11-24T18:26:50-06:00,4386
